"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 07:57:25 GMT 2024","Tue Sep 17 07:57:25 GMT 2024","496","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","AddOneToCartAndVerifyPrice","AddOneToCartAndVerifyPrice",""
"passed","Tue Sep 17 07:57:25 GMT 2024","Tue Sep 17 07:57:25 GMT 2024","274","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","AddThreeToCartAndVerifyPrice","AddThreeToCartAndVerifyPrice",""
"passed","Tue Sep 17 07:57:27 GMT 2024","Tue Sep 17 07:57:28 GMT 2024","764","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.LoginPageTest","selenium_java_gradle_allure.POM.testCases.LoginPageTest","TestLoginInvalidCredentials","TestLoginInvalidCredentials",""
"passed","Tue Sep 17 07:57:25 GMT 2024","Tue Sep 17 07:57:25 GMT 2024","71","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","TestNavigateToSite","TestNavigateToSite",""
"passed","Tue Sep 17 07:57:28 GMT 2024","Tue Sep 17 07:57:30 GMT 2024","1652","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.LoginPageTest","selenium_java_gradle_allure.POM.testCases.LoginPageTest","TestLoginValidCredentials","TestLoginValidCredentials",""
