"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 10:09:46 GMT 2024","Thu Sep 19 10:09:47 GMT 2024","1199","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.LoginPageTest","selenium_java_gradle_allure.POM.testCases.LoginPageTest","TestLoginValidCredentials","TestLoginValidCredentials",""
"passed","Thu Sep 19 10:09:43 GMT 2024","Thu Sep 19 10:09:44 GMT 2024","1070","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.ContactPageTest","selenium_java_gradle_allure.POM.testCases.ContactPageTest","TestFillInContactForm","TestFillInContactForm",""
"passed","Thu Sep 19 10:09:41 GMT 2024","Thu Sep 19 10:09:41 GMT 2024","905","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","AddThreeToCartAndVerifyPrice","AddThreeToCartAndVerifyPrice",""
"passed","Thu Sep 19 10:09:41 GMT 2024","Thu Sep 19 10:09:42 GMT 2024","83","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","TestNavigateToSite","TestNavigateToSite",""
"passed","Thu Sep 19 10:09:39 GMT 2024","Thu Sep 19 10:09:40 GMT 2024","1486","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","AddOneToCartAndVerifyPrice","AddOneToCartAndVerifyPrice",""
"passed","Thu Sep 19 10:09:45 GMT 2024","Thu Sep 19 10:09:45 GMT 2024","660","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.LoginPageTest","selenium_java_gradle_allure.POM.testCases.LoginPageTest","TestLoginInvalidCredentials","TestLoginInvalidCredentials",""
"passed","Thu Sep 19 10:09:48 GMT 2024","Thu Sep 19 10:09:50 GMT 2024","1994","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.ProductdetailPageTest","selenium_java_gradle_allure.POM.testCases.ProductdetailPageTest","TestAddToCartAndValidatePrice","TestAddToCartAndValidatePrice",""
