"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 09:34:52 GMT 2024","Thu Sep 19 09:34:54 GMT 2024","1444","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.LoginPageTest","selenium_java_gradle_allure.POM.testCases.LoginPageTest","TestLoginValidCredentials","TestLoginValidCredentials",""
"passed","Thu Sep 19 09:34:55 GMT 2024","Thu Sep 19 09:34:57 GMT 2024","2127","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.ProductdetailPageTest","selenium_java_gradle_allure.POM.testCases.ProductdetailPageTest","TestAddToCartAndValidatePrice","TestAddToCartAndValidatePrice",""
"passed","Thu Sep 19 09:34:48 GMT 2024","Thu Sep 19 09:34:48 GMT 2024","570","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","AddOneToCartAndVerifyPrice","AddOneToCartAndVerifyPrice",""
"passed","Thu Sep 19 09:34:48 GMT 2024","Thu Sep 19 09:34:49 GMT 2024","266","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","AddThreeToCartAndVerifyPrice","AddThreeToCartAndVerifyPrice",""
"passed","Thu Sep 19 09:34:49 GMT 2024","Thu Sep 19 09:34:49 GMT 2024","56","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","TestNavigateToSite","TestNavigateToSite",""
"passed","Thu Sep 19 09:34:51 GMT 2024","Thu Sep 19 09:34:52 GMT 2024","787","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.LoginPageTest","selenium_java_gradle_allure.POM.testCases.LoginPageTest","TestLoginInvalidCredentials","TestLoginInvalidCredentials",""
