"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 07:32:27 GMT 2024","Tue Sep 17 07:32:27 GMT 2024","49","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","TestNavigateToSite","TestNavigateToSite",""
"passed","Tue Sep 17 07:32:31 GMT 2024","Tue Sep 17 07:32:32 GMT 2024","1400","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.LoginPageTest","selenium_java_gradle_allure.POM.testCases.LoginPageTest","TestLoginValidCredentials","TestLoginValidCredentials",""
"passed","Tue Sep 17 07:32:27 GMT 2024","Tue Sep 17 07:32:27 GMT 2024","277","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","AddThreeToCartAndVerifyPrice","AddThreeToCartAndVerifyPrice",""
"passed","Tue Sep 17 07:32:29 GMT 2024","Tue Sep 17 07:32:30 GMT 2024","761","Gradle suite","Gradle test","selenium_java_gradle_allure.POM.testCases.LoginPageTest","selenium_java_gradle_allure.POM.testCases.LoginPageTest","TestLoginInvalidCredentials","TestLoginInvalidCredentials",""
"passed","Tue Sep 17 07:32:26 GMT 2024","Tue Sep 17 07:32:27 GMT 2024","464","Gradle suite","Gradle test","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","selenium_java_gradle_allure.CoffeeTests.CoffeeTest","AddOneToCartAndVerifyPrice","AddOneToCartAndVerifyPrice",""
